customer_id,customer_name,email,city,signup_date
1,Customer_1,customer1@gmail.com,Chennai,2024-01-22
2,Customer_2,customer2@gmail.com,Hyderabad,2025-03-31
3,Customer_3,customer3@gmail.com,Pune,2024-05-18
4,Customer_4,customer4@gmail.com,Pune,2024-02-02
5,Customer_5,customer5@gmail.com,Bangalore,2025-01-10
6,Customer_6,customer6@gmail.com,Delhi,2024-01-14
7,Customer_7,customer7@gmail.com,Hyderabad,2025-01-17
8,Customer_8,customer8@gmail.com,Chennai,2024-07-24
9,Customer_9,customer9@gmail.com,Bangalore,2024-07-31
10,Customer_10,customer10@gmail.com,Hyderabad,2024-07-05
11,Customer_11,customer11@gmail.com,Bangalore,2025-01-15
12,Customer_12,customer12@gmail.com,Chennai,2024-01-11
13,Customer_13,customer13@gmail.com,Kolkata,2024-07-31
14,Customer_14,customer14@gmail.com,Pune,2024-12-08
15,Customer_15,customer15@gmail.com,Hyderabad,2024-04-19
16,Customer_16,customer16@gmail.com,Pune,2024-01-27
17,Customer_17,customer17@gmail.com,Kolkata,2024-10-31
18,Customer_18,customer18@gmail.com,Chennai,2024-05-30
19,Customer_19,customer19@gmail.com,Hyderabad,2024-07-06
20,Customer_20,customer20@gmail.com,Kolkata,2024-05-08
21,Customer_21,customer21@gmail.com,Kolkata,2024-05-02
22,Customer_22,customer22@gmail.com,Bangalore,2024-09-17
23,Customer_23,customer23@gmail.com,Hyderabad,2024-10-04
24,Customer_24,customer24@gmail.com,Delhi,2024-03-13
25,Customer_25,customer25@gmail.com,Mumbai,2025-03-05
26,Customer_26,customer26@gmail.com,Kolkata,2024-01-16
27,Customer_27,customer27@gmail.com,Bangalore,2024-08-03
28,Customer_28,customer28@gmail.com,Chennai,2024-03-09
29,Customer_29,customer29@gmail.com,Chennai,2024-07-18
30,Customer_30,customer30@gmail.com,Delhi,2025-01-13
31,Customer_31,customer31@gmail.com,Mumbai,2024-03-01
32,Customer_32,customer32@gmail.com,Pune,2024-10-09
33,Customer_33,customer33@gmail.com,Delhi,2024-10-22
34,Customer_34,customer34@gmail.com,Chennai,2024-05-21
35,Customer_35,customer35@gmail.com,Chennai,2024-01-01
36,Customer_36,customer36@gmail.com,Hyderabad,2024-12-12
37,Customer_37,customer37@gmail.com,Kolkata,2024-05-26
38,Customer_38,customer38@gmail.com,Hyderabad,2025-04-17
